Date,Title,Link,Post ID,Posted Date
01.12.2024,"البادية_24  إدارة العمـ.ـليات العسـ.ـكرية :  تدمـ.ـير سيارة نوع ""زيل"" لقوات النـ.ـظام في مدينة حماة قرب دوار سباهي وقتـ.ـل أكثر من 10 عناصر كانوا بداخلها بعد استـ.ـهدافها من قبل كتائب ""شاهين"" ALBADIA_24",https://syria.liveuamap.com/ar/2024/2-december-21-shaheen-brigades-have-targeted-a-zil-vehicle,22717747,4 الشهر منذ
01.12.2024,وصل الثوار إلى قرية الرهجان وقرية السعن في ريف حماة الشمالي الشرقي، وسيطروا عليها لفترة وجيزة، لكن الجيش العربي السوري استعادها، ولا يزال الثوار متواجدين في محيط القريتين,https://syria.liveuamap.com/ar/2024/2-december-21-rebels-have-reached-alrahjan-village-and-alsaan,22717745,4 الشهر منذ
01.12.2024,وزير خارجية إيران: يحتمل أن تحتضن الدوحة الأسبوع المقبل اجتماعا يضم قطر وإيران وتركيا وروسيا لبحث الوضع بسوريا,https://syria.liveuamap.com/ar/2024/2-december-20-iranian-foreign-minister-doha-may-host-a-meeting,22717740,4 الشهر منذ
01.12.2024,القصيرغارات اسرائيلية على معابر جوسية والجوبانية والحوز الحدودية بريف القصير بالإضافة لمواقع للحزب شمال الهرمل وجرد وادي الزين على الشريط الحدودي السوري ـ اللبناني,https://israelpalestine.liveuamap.com/ar/2024/2-december-20-alqusayr-israeli-raids-targeted-the-border,22717741,4 الشهر منذ
01.12.2024,nمظاهرة حاشدة في الجيزة في ريف درعا الشرقي تأيدا لعمليات ثوار الشمال وإسقاط الأسد,https://syria.liveuamap.com/ar/2024/2-december-20-a-massive-demonstration-in-aljiza-in-the-eastern,22717739,4 الشهر منذ
01.12.2024,أفادت تقارير بأن القوات الموالية للأسد تخلت عن صواريخ بوك سام,https://syria.liveuamap.com/ar/2024/2-december-20-proassad-forces-have-reportedly-abandoned-buk,22717744,4 الشهر منذ
01.12.2024,اشتباكات بين الثوار وقوات الأسد بين أثريا وخناصر,https://syria.liveuamap.com/ar/2024/2-december-20-clashes-between-rebels-and-proassad-forces,22717727,4 الشهر منذ
01.12.2024,"عودة الاشتباكات العنيفة لقرى ""تل ملح"" و""الجبين"" و""الجلمة"" شمال حماة مع قوات النظام تل ملح والجبين والمغير بريف حماة الشمالي الغربي صديق ولله الحمد",https://syria.liveuamap.com/ar/2024/2-december-19-violent-clashes-at-the-villages-of-tal-malah,22717714,4 الشهر منذ
01.12.2024,إدارة العمـ.ـليات العسـ.ـكرية تتمكن من أسـ.ـر 5 عناصر من قوات النـ.ـظام أثناء تمشـ.ـيط مدينة #صوران شمال حماة,https://syria.liveuamap.com/ar/2024/2-december-19-rebels-have-captured-5-members-of-the-government,22717648,4 الشهر منذ
01.12.2024,سوريا ردع_العدوان nn• إدارة العمليات العسكرية تسيطر على بلدات وقرى صوران والفان الوسطاني وأبو يوسف والمضبعة وتلة المضبعة شمال حماة,https://syria.liveuamap.com/ar/2024/2-december-18-rebels-have-controlled-the-towns-and-villages,22717643,4 الشهر منذ
01.12.2024,الخارجية الأميركية: على سوريا تغيير سلوكها,https://syria.liveuamap.com/ar/2024/2-december-18-us-state-department-syria-must-change-its-behavior,22717632,4 الشهر منذ
01.12.2024,"م تحرير #طيبة_الإمام بالكامل 
تم تحرير بلدة #معردس بالكامل",https://syria.liveuamap.com/ar/2024/2-december-18-rebels-have-claimed-control-over-taybatalimam,22717619,4 الشهر منذ
01.12.2024,الأمين العام للأمم المتحدة أنطونيو غوتيريش يدعو لوقف فوري للقتال في سوريا,https://syria.liveuamap.com/ar/2024/2-december-17-un-secretarygeneral-antonio-guterres-calls,22717617,4 الشهر منذ
01.12.2024,مراسل غارات جوية روسية على مناطق السرمانية والقرقور والعنكاوي في سهل الغاب غربي حماةفجر_الحرية ردع_العدوان,https://syria.liveuamap.com/ar/2024/2-december-17-russian-airstrikes-on-the-areas-of-sarmaniyah,22717620,4 الشهر منذ
01.12.2024,قيادي في فصائل المعارضة السورية للتلفزيون العربي:   ننفي ادعاءات النظام السوري استعادته بلدات جرى تحريرها  عملياتنا تتركز في المناطق التي تسيطر عليها قوات النظام  قواتنا بدأت عمليات التمهيد من أجل الدخول إلى مدينة حماة  تجنبنا الاشتباك المسلح مع قوات قسد…,https://syria.liveuamap.com/ar/2024/2-december-17-a-leader-in-the-syrian-opposition-factions,22717626,4 الشهر منذ
01.12.2024,غارات جوية روسية تستهدف قرية الحويز شمال غرب محافظة حماة السورية,https://syria.liveuamap.com/ar/2024/2-december-17-russian-airstrikes-target-alhuwaiz-village,22717654,4 الشهر منذ
01.12.2024,أنباء عن اشتباكات بين المجلس العسكري في منبج (قسد) ومسلحي الجيش الوطني في الصياد الكبيرة,https://syria.liveuamap.com/ar/2024/2-december-17-clashes-between-the-mmc-sdf-and-the-turkishbacked,22717616,4 الشهر منذ
01.12.2024,المعارضة السورية المسلحة: السيطرة على قرى باب الطاقة والتوينة والحويز والشريعة في سهل الغاب شمال غرب حماة,https://syria.liveuamap.com/ar/2024/2-december-17-syrian-armed-opposition-control-of-the-villages,22717614,4 الشهر منذ
01.12.2024,وكالة الأنباء السورية: الجيش يستعيد السيطرة على القرى الواقعة على طريق محردة السقيلبية في حماة,https://syria.liveuamap.com/ar/2024/2-december-17-syrian-news-agency-the-army-regains-control,22717615,4 الشهر منذ
01.12.2024,الإدارة الذاتية في شمال وشرق سوريا تحضر مراكز إيواء طارئة للنازحين من شمال حلب في الرقة والطبقة.. وتوقع وصول أكثر من 120 ألف نازح في الدفعة الأولى,https://syria.liveuamap.com/ar/2024/2-december-16-selfadministration-in-north-and-east-syria,22717608,4 الشهر منذ
01.12.2024,"ديرالزور غرفة عمليات تابعة لقوات قسد وقوات مجلس ديرالزور العسكري تطلق اسم معركة_العودة لإستعادة القرى السبعة ""الحسينية،الصالحية،حطلة،مراط،مظلوم، خشام،طابية""بريف ديرالزور_جزيرة،والتي تسيطر عليها قوات النظام السوري والمليشيات الايرانية ، لعودة المهجرين إلى مناطقهم.",https://syria.liveuamap.com/ar/2024/2-december-16-deir-ezzor-an-operations-room-affiliated-with,22717604,4 الشهر منذ
